100,julianvazquez@example.net,Beth,Pena,(956)302-8218,Wt))sAGlTwB2,5009 Michael Divide,Los Angeles,6822,471,11111,2/2/2025 20:24,TRUE
101,shari72@example.org,Justin,Simon,905-926-0863x227,%&uj$6hpnh9G,687 Jennifer Extensions,Miami,39334,303,33333,2/2/2025 20:24,FALSE
102,webbamanda@example.com,Ann,Torres,(696)373-3726,7(zCnr#ftI7H,3560 Glenn Union Suite 993,New York,32160,72,11111,2/2/2025 20:24,TRUE
103,michaelpatterson@example.org,Kayla,Hammond,(229)664-2742x158,%uvC5B&z99%1,97444 Fox Forge,Los Angeles,76820,216,444444,2/2/2025 20:24,FALSE
104,ingramgary@example.com,Kevin,Burton,4366934427,u14cAKa4+8x3,544 Gordon Stravenue,Los Angeles,13002,104,33333,2/2/2025 20:24,FALSE
105,andrewcook@example.com,Claudia,Perez,714-700-6487x0333,(7$cZp6H$7UU,01420 Karla Common,Miami,3864,360,11111,2/2/2025 20:24,FALSE
106,jesus17@example.org,Leslie,Butler,+1-384-836-7993x9807,5a54w1kO!^Mb,608 Jacobson Shoal Suite 572,Houston,12119,308,11111,2/2/2025 20:24,TRUE
107,kaitlinstein@example.org,Lori,Adams,+1-836-830-9968x15843,L1nLmH%b!)RU,9706 Mark Rapid Apt. 992,Los Angeles,99702,269,11111,2/2/2025 20:24,TRUE
108,stanley01@example.net,Sharon,Smith,243.967.2113,D6(AIfvV&h%W,8374 Megan Coves,Los Angeles,78085,332,555555,2/2/2025 20:24,FALSE
109,juancarter@example.org,Stacie,Moran,(537)371-0009,p9&9AHsu*MY%,23223 Lauren Lock,Los Angeles,53379,352,444444,2/2/2025 20:24,FALSE
110,reesemichael@example.net,Leah,Costa,001-630-468-4553,(%C1vpQA%8Is,9328 Wright Rapid,Los Angeles,21587,79,33333,2/2/2025 20:24,TRUE
111,jmckenzie@example.org,Misty,Gonzales,001-955-785-2025x527,Z_e9w7T*%sST,313 Benjamin Park Apt. 651,New York,27526,474,11111,2/2/2025 20:24,TRUE
